"NameID"	"Name"	"Chinese"	"Pinyin"	"Birth_year"	"age"	"Town"	"Province"
"N00003"	"CHANG YU-CH'UAN"	"張煜全"	"Zhang Qian"	1880	56	"Guangzhou"	"Guangdong"
"N00002"	"CHANG F-YUN"	"張福運"	"Zhang Fuyun"	1890	46	"Fushan"	"Shandong"
"N00004"	"CH'EN JU HSUAN"	"陳茹玄"	"Zhang Yuquan"	1894	42	"Xingning"	"Guangdong"
"N00001"	"CHANG CH'IEN"	"張謙"	"Chen Ruxuan"	1888	48	"Xinhui"	"Guangdong"
"N00014"	"WU CHING-HSIUNG"	"吳經熊"	"Chen Tingrui"	1899	37	"Ningbo"	"Zhejiang"
"N00007"	"HSIANG CHEN-CHUN"	"向哲濬"	"He Shizhi"	1898	38	"Ningxiang"	"Hunan"
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Xiang Zhejun"	1903	33	"Xinchang"	"Zhejiang"
"N00005"	"CH'EN TING-JUI"	"陳霆銳"	"Xu Weizhen"	1889	47	"Suzhou"	"Jiangsu"
"N00015"	"YANG YUNG-CH'ING"	"楊永淸"	"Hu Angu"	1892	44	"Suzhou"	"Jiangsu"
"N00011"	"LI CHING-LUN"	"李錦綸"	"Guo Yunguan"	1884	52	"Taishan"	"Guangdong"
"N00016"	"YU WEN TS'AN"	"余文燦"	"Li Jinguan"	1892	44	"Taishan"	"Guangdong"
"N00008"	"HSU WEI-CHEN"	"徐維震"	"Liang Yunli"	1881	55	"Tongxing"	"Zhejiang"
"N00013"	"WANG CH'UNG-HUI"	"王寵惠"	"Wang Chonghui"	1882	54	"Dongguan"	"Guangdong"
"N00009"	"HU YI-KU"	"胡諳穀"	"Wu Jingxiong"	1876	60	"Cicheng"	"Zhejiang"
"N00010"	"KUO YUN-KUAN"	"郭雲觀"	"Yang Yongqing"	1889	47	"Wenzhou"	"Zhejiang"
"N00006"	"HO SHIH-CHEN"	"何世植"	"Yu Wencan"	1892	44		"Anhui"
