,DocId,SurName,Title,Nationality,length,birthyear,Town,Province,Country,age
30,imh-43-300,Yen,"Yen, Dr. F.",Chinese,527,1882,Shanghai,Kiangsu,China,53
22,imh-43-224,Soong,"Soong, T. V.",Chinese,361,1894,Shanghai,Kiangsu,China,41
28,imh-43-292,Yang,"Yang, Jenken",Chinese,325,1908,Chefoo,Shantung,China,27
6,imh-43-97,Harrington,"Harrington,",American,230,1907,Columbia,Mississippi,USA,28
32,imh-43-314,Zee,"Zee, T. T.",Chinese,455,1902,Shanghai,Kiangsu,China,33
7,imh-43-119,Hu,"Hunt, Willia",American,279,1900,Niagara Falls,New York,USA,35
16,imh-43-61,Doon,"Doon, Dayu",Chinese,418,1900,Hangchow,Chekiang,China,35
19,imh-43-142,Lee,"Lee, Poy Gum",Chinese,683,1900,New York City,New Jersey,USA,35
29,imh-43-297,Yao,Yao Yung-Li,Chinese,433,1900,Shaoshing,Chekiang,China,35
33,imh-43-148,Li,"Li, S. T. L",Chinese,881,1900,Changli,Hopeh,China,35
11,imh-43-189,Nance,"Nance, Dr. W",American,208,1899,Shanghai,Kiangsu,China,36
15,imh-43-51,Chu,"Chu, Percy",Chinese,555,1898,Hangchow,Chekiang,China,37
8,imh-43-124,Johnson,"Johnson, Tru",American,284,1897,Des Moines,Iowa,USA,38
20,imh-43-154,Li,"Liu, Dr. Her",Chinese,248,1896,Hsinkuoh,Hupeh,China,39
31,imh-43-309,Yu,"Yui, K. L.",Chinese,273,1896,Chinkiang,Kiangsu,China,39
23,imh-43-238,Sze,"Sze, Fred. C",Chinese,557,1895,Chen-Tseh,Kiangsu,China,40
26,imh-43-270,Wen,"Wen, Dr. Y.",Chinese,218,1894,Hongkong,Hongkong,China,41
1,imh-43-3,Allman,"Allman, Norw",American,414,1893,Union Hall,Virginia,USA,42
17,imh-43-71,Fan,"Fan, Robert",Chinese,388,1893,Shanghai,Kiangsu,China,42
5,imh-43-80,Franklin,"Franklin, Co",American,312,1892,Columbus,Mississippi,USA,43
21,imh-43-190,New,"New, Dr. Way",Chinese,287,1892,Shanghai,Kiangsu,China,43
27,imh-43-279,Wong,"Wong, Dr. Be",Chinese,367,1891,Victoria,British Columbia,Canada,44
18,imh-43-111,Hsu,"Hsu, Dr. W.",Chinese,342,1890,Canton,Kwangtung,China,45
25,imh-43-268,Wei,"Wei, Lott H.",Chinese,336,1890,Chungshan,Kwangtung,China,45
4,imh-43-76,Fitch,"Fitch, Georg",American,444,1883,Soochow,Kiangsu,China,52
13,imh-43-206,Pott,"Potter, John",American,284,1882,Bedford,Cambria,USA,53
24,imh-43-254,Tyau,"Tyau, Dr. Ed",Chinese,353,1880,Hinnen,Kwangtung,China,55
2,imh-43-10,Bassett,"Bassett, Art",American,299,1878,Paris,Missouri,USA,57
9,imh-43-171,Ma,"Martin, Dr.",American,373,1878,Indianapolis,Indiana,USA,57
10,imh-43-188,Murphy,"Murphy, Henr",American,873,1877,New Haven,Connecticut,USA,58
14,imh-43-258,Walker,"Walker, Mill",American,378,1877,Lime Rock,Connecticut,USA,58
3,imh-43-74,Fessenden,"Fessenden, S",American,297,1875,Fort Fairfield,Maine,USA,60
12,imh-43-205,Pott,"Pott, Franci",American,405,1864,New York City,New Jersey,USA,71
