"","University","P1_Degree","P1_DegreeN","P1_Eigen","P1_Betweenness","P1_Closeness","P2_Degree","P2_DegreeN","P2_Eigen","P2_Betweenness","P2_Closeness","P3_Degree","P3_DegreeN","P3_Eigen","P3_Betweenness","P3_Closeness"
"1","Brown",0,0,1.11126255222644e-16,0,NA,0,0,4.42030152330129e-18,0,NA,1,0.0123456790123457,0.0425609518906159,0,0.0053475935828877
"2","California",3,0.0625,0.361736752096744,13,0.037037037037037,6,0.0740740740740741,0.299663081935552,45.0928571428571,0.00813008130081301,7,0.0864197530864197,0.321131912288256,248.195238095238,0.00769230769230769
"3","Chicago",2,0.0416666666666667,4.44505020890577e-17,3,0.166666666666667,10,0.123456790123457,0.237483321406129,354.471428571429,0.00826446280991736,8,0.0987654320987654,0.629260533010697,283.646825396825,0.0072992700729927
"4","Colorado",3,0.0625,0.303815830741572,24,0.0384615384615385,0,0,4.42030152330129e-18,0,NA,1,0.0123456790123457,0.0847076770506495,0,0.00452488687782805
"5","Columbia",11,0.229166666666667,1,81,0.0588235294117647,19,0.234567901234568,1,577.358333333333,0.0113636363636364,15,0.185185185185185,1,487.074603174603,0.00862068965517241
"6","Cornell",1,0.0208333333333333,8.89010041781155e-17,0,1,4,0.0493827160493827,0.336724823961297,51.7428571428572,0.00840336134453781,6,0.0740740740740741,0.253093048067336,126.074603174603,0.0072992700729927
"7","Harvard",3,0.0625,8.89010041781155e-17,5,0.2,6,0.0740740740740741,0.298202918114708,40.5166666666667,0.00833333333333333,10,0.123456790123457,0.358164587146747,320.573015873016,0.0078740157480315
"8","Illinois",1,0.0208333333333333,0,0,0.125,4,0.0493827160493827,0.231167434878947,137,0.00854700854700855,3,0.037037037037037,0.194056832887121,13.952380952381,0.0065359477124183
"9","Massachusetts Institute of Technology",1,0.0208333333333333,8.89010041781155e-17,0,1,2,0.0246913580246914,0.20034706972756,2.00119047619048,0.00757575757575758,2,0.0246913580246914,3.87284465411318e-17,3,0.166666666666667
"10","Michigan",3,0.0625,1.77802008356231e-16,3,0.333333333333333,1,0.0123456790123457,1.93757936707631e-17,0,1,6,0.0740740740740741,0.429571039826243,241.921428571429,0.00833333333333333
"11","Northwestern",1,0.0208333333333333,4.44505020890577e-17,0,0.111111111111111,7,0.0864197530864197,0.283489382549712,116.833333333333,0.00806451612903226,2,0.0246913580246914,0.156945743245113,92.5,0.00632911392405063
"12","Oberlin",1,0.0208333333333333,2.22252510445289e-17,0,1,1,0.0123456790123457,0.0366499619504647,0,0.00595238095238095,2,0.0246913580246914,0.267747846998691,8.24285714285714,0.00671140939597315
"13","Ohio State",1,0.0208333333333333,6.66757531335866e-17,0,1,3,0.037037037037037,0.265628127511518,8.03333333333333,0.0078740157480315,1,0.0123456790123457,0.0995845876139747,0,0.00558659217877095
"14","Pennsylvania",2,0.0416666666666667,8.89010041781155e-17,1,0.5,9,0.111111111111111,0.568274386980355,158.20119047619,0.00900900900900901,11,0.135802469135802,0.59218992292573,232.611111111111,0.00775193798449612
"15","Princeton",1,0.0208333333333333,2.22252510445289e-17,0,1,9,0.111111111111111,0.501865772098317,191.253571428571,0.00943396226415094,1,0.0123456790123457,0.168163259384716,0,0.00602409638554217
"16","St. John's University",1,0.0208333333333333,0.0912136555448787,0,0.025,3,0.037037037037037,0.183320717726674,10.0178571428571,0.00704225352112676,2,0.0246913580246914,0.283194127024413,0,0.00537634408602151
"17","Stanford",2,0.0416666666666667,0.10243913694456,0,0.0263157894736842,1,0.0123456790123457,0.154326466942865,0,0.00740740740740741,2,0.0246913580246914,0.222165848447556,19.8706349206349,0.00689655172413793
"18","Trinity",3,0.0625,0.508694104630693,0,0.0357142857142857,0,0,4.42030152330129e-18,0,NA,0,0,1.26670266891799e-17,0,NA
"19","Washington",0,0,1.11126255222644e-16,0,NA,1,0.0123456790123457,0.0437499148247113,0,0.00584795321637427,3,0.037037037037037,0.181176624108553,42.3119047619048,0.0065359477124183
"20","Wisconsin",0,0,1.11126255222644e-16,0,NA,7,0.0864197530864197,0.425690891248382,286.357142857143,0.0101010101010101,1,0.0123456790123457,0.0602301243707782,0,0.00564971751412429
"21","Yale",1,0.0208333333333333,2.22252510445289e-17,0,1,6,0.0740740740740741,0.321398769295622,105.417857142857,0.00826446280991736,4,0.0493827160493827,0.384763684086717,158.030158730159,0.00769230769230769
